Species Type,Genus,Species,Brain mass (g),Body mass (g)
M,Sciurus,aberti,6.85,626.5
M,Cynomops,abrasus,0.418,33.3
M,Myoprocta,acouchy,9.9,782
M,Rhinolophus,acuminatus,0.302,12.1
M,Lagenorhynchus,acutus,1200,120000
M,Canis,adustus,56.5,12000
M,Myotis,adversus,0.2545,11.25
M,Tadarida,aegyptiaca,0.393,17.7
M,Rousettus,aegyptiacus,2.6,130
M,Phacochoerus,aethiopicus,125,65320
M,Chlorocebus,aethiops,66.1,3220
M,Chlorocebus,aethiops,66.3,5230
M,Chlorocebus,aethiops,36.54,1370
M,Chlorocebus,aethiops,60,1908
M,Orycteropus,afer,72,52500
M,Rhinolophus,affinis,0.3475,13.5
M,Ratufa,affinis,9.85,982.5
M,Coleura,afra,0.2585,11.5
M,Gerbilliscus,afra,1.56,65
M,Loxodonta,africana,4050,1793300
M,Loxodonta,africana,4420,3505000
M,Loxodonta,africana,9000,4380000
M,Loxodonta,africana,4000,5174400
M,Loxodonta,africana,5712,6654000
M,Loxodonta,africana,4480,2750000
M,Phacochoerus,africanus,132.5,67000
M,Atherurus,africanus,18.47,2685
M,Atherurus,africanus,25.3,3620
M,Cercocebus,agilis,95.3,4700
M,Hylobates,agilis,77,4536
M,Hylobates,agilis,76,5333
M,Hylobates,agilis,86.5,5670
M,Hylobates,agilis,96.9,4309
M,Hylobates,agilis,108.7,4879
M,Hylobates,agilis,83,4989
M,Hylobates,agilis,79.2,5443
M,Hylobates,agilis,81.5,5670
M,Hylobates,agilis,93,5897
M,Hylobates,agilis,98.9,5897
M,Hylobates,agilis,89,6350
M,Hylobates,agilis,87.5,7372
M,Dipodomys,agilis,1.34,61.4
M,Apodemus,agrarius,0.2,33.3
M,Microtus,agrestis,0.9,42.5
M,Microtus,agrestis,0.57,22.3
M,Microtus,agrestis,0.9,42.5
M,Myotis,albescens,0.126,4
M,Ichneumia,albicauda,28.3,4400
M,Ichneumia,albicauda,30,5000
M,Mystromys,albicaudatus,1.39,80
M,Cebus,albifrons,60.7,1470
M,Cebus,albifrons,65.2,1770
M,Eulemur,albifrons,22.3,1540
M,Lophocebus,albigena,89.6,2350
M,Lophocebus,albigena,104,7900
M,Neotoma,albigula,2.17,223.1
M,Lagenorhynchus,albirostris,1126,67500
M,Nyctimene,albiventer,0.825,29.7
M,Noctilio,albiventris,0.55,38.5
M,Atelerix,albiventris,2.24,280
M,Alces,alces,407,272160
M,Alces,alces,436,200000
M,Cyttarops,alecto,0.175,5.3
M,Pteropus,alecto,7.03967,595
M,Notomys,alexis,0.96,37
M,Atelerix,algirus,3.2,790
M,Neofiber,alleni,2.72,270.5
M,Myotis,altarium,0.24,11
M,Antilocapra,americana,130.2,34474
M,Antilocapra,americana,121,59000
M,Ursus,americanus,248,25990
M,Ursus,americanus,425,225000
M,Lepus,americanus,9.72,1500
M,Ovis,ammon,102.1,40000
M,Ovis,ammon,107,40000
M,Ovis,ammon,122,40000
M,Tamias,amoenus,1.39,50.8
M,Hippopotamus,amphibius,720,1351000
M,Hippopotamus,amphibius,590,1400000
M,Hippopotamus,amphibius,582,1755000
M,Arvicola,amphibius,1.64,168.3
M,Rousettus,amplexicaudatus,1.62725,80.38
M,Funisciurus,anerythrus,4.14,218
M,Tragelaphus,angasi,227,135000
M,Rousettus,angolensis,1.762,84.15
M,Colobus,angolensis,74.4,9670
M,Otomys,angoniensis,0.42,95
M,Myotis,annectans,0.221,9.8
M,Cryptomys,anselli,1.11,50
M,Cryptomys,anselli,1.22,54
M,Cryptomys,anselli,1.18,58
M,Cryptomys,anselli,1.21,66
M,Cryptomys,anselli,1.23,80
M,Cryptomys,anselli,1.21,50
M,Cryptomys,anselli,1.24,80
M,Cryptomys,anselli,1.21,81
M,Cryptomys,anselli,1.35,83
M,Cryptomys,anselli,1.33,100
M,Papio,anubis,161,5445
M,Papio,anubis,148,12900
M,Papio,anubis,182,4990
M,Papio,anubis,212.7,6810
M,Papio,anubis,174.7,16060
M,Papio,anubis,174.3,25600
M,Papio,anubis,201,25000
M,Cebus,apella,62.6,1810
M,Cebus,apella,70.8,2770
M,Cebus,apella,96.5,2520
M,Cebus,apella,57.7,2645
M,Cavia,aperea,2.8,88
M,Cavia,aperea,5.27,524.9
M,Scalopus,aquaticus,1.16,39.6
M,Scalopus,aquaticus,1.48,39.6
M,Scalopus,aquaticus,0.57,53
M,Sorex,araneus,0.25,7.5
M,Sorex,araneus,0.2,10.3
M,Sorex,arcticus,0.27,8.2
M,Lepus,arcticus,15.8,4231
M,Macaca,arctoides,99.8,7450
M,Macaca,arctoides,101.6,7810
M,Ursus,arctos,410.3,500000
M,Ursus,arctos,385,100500
M,Ursus,arctos,233.9,142880
M,Ursus,arctos,389,149688
M,Ursus,arctos,400,245000
M,Ursus,arctos,529,550000
M,Nycteris,arge,0.36,10.6
M,Heliophobius,argenteocinereus,1.43,160
M,Casinycteris,argynnis,0.92,40.5
M,Ovis,aries,106.5,52100
M,Ovis,aries,109,40230
M,Ovis,aries,125.9,32950
M,Hipposideros,armiger,0.76,73
M,Redunca,arundinum,135,47500
M,Redunca,arundinum,130,54000
M,Redunca,arundinum,135,60000
M,Redunca,arundinum,143,65000
M,Redunca,arundinum,147,65000
M,Redunca,arundinum,138,67000
M,Microtus,arvalis,0.57,30.4
M,Chrysochloris,asiatica,0.7,49
M,Equus,asinus,478,291000
M,Equus,asinus,371,211000
M,Equus,asinus,385,175000
M,Equus,asinus,453,200000
M,Macaca,assamensis,90.5,3655
M,Bassariscus,astutus,16.4,1500
M,Hipposideros,ater,0.198,5.83
M,Kerivoula,atrox,0.188,4.2
M,Stenella,attenuata,780,77000
M,Cercocebus,atys,105,3175
M,Cercocebus,atys,112,3629
M,Cercocebus,atys,108,3856
M,Cercocebus,atys,100,2250
M,Cercocebus,atys,85,2815
M,Cercocebus,atys,103,3090
M,Cercocebus,atys,92.6,7735
M,Sylvilagus,audubonii,6.07,792.5
M,Rhinonicteris,aurantia,0.249,8.65
M,Mesocricetus,auratus,1.12,125
M,Sciurus,aureogaster,7.81,595
M,Canis,aureus,84.7,18000
M,Eumops,auripendulus,0.612,33.8
M,Lonchorhina,aurita,0.377,18
M,Plecotus,auritus,0.238,6.6
M,Plecotus,auritus,0.23,8
M,Hemiechinus,auritus,1.9,250
M,Taphozous,australis,0.5035,22.9
M,Syconycteris,australis,0.592,15.84
M,Miniopterus,australis,0.2045,7.1
M,Pseudomys,australis,1.16,50
M,Axis,axis,219,88450
M,Peromyscus,aztecus,0.92,39.73
M,Pipistrellus,babu,0.097,4.8
M,Sylvilagus,bachmani,6.58,712.4
M,Camelus,bactrianus,540,450000
M,Piliocolobus,badius,78,7000
M,Chaetodipus,baileyi,0.73,28.3
M,Tapirus,bairdii,85,14260
M,Tapirus,bairdii,159,58100
M,Cephalopachus,bancanus,2.7,77.6
M,Cricetulus,barabensis,0.628,23.18
M,Cricetulus,barabensis,0.67,36
M,Eira,barbara,55.2,6000
M,Barbastella,barbastellus,0.185,6.2
M,Erignathus,barbatus,460,281000
M,Glauconycteris,beatrix,0.144,5.5
M,Mormopterus,beccarii,0.233,14.2
M,Myotis,bechsteini,0.25,7
M,Myotis,bechsteini,0.28,8
M,Otospermophilus,beecheyi,5.12,587.5
M,Oryx,beisa,280,107000
M,Urocitellus,beldingi,3.28,262.9
M,Hipposideros,bicolor,0.24,8.4
M,Wallabia,bicolor,32.7,16400
M,Ratufa,bicolor,11.01,1320
M,Diceros,bicornis,655,763000
M,Diceros,bicornis,926,764000
M,Tonatia,bidens,0.788,29.4
M,Saccopteryx,bilineata,0.22,8
M,Uroderma,bilobatum,0.53,16.4
M,Bison,bison,334,54800
M,Pontoporia,blainvillei,220,34900
M,Sphaerias,blanfordi,0.832,29.5
M,Hesperoptenus,blanfordi,0.158,7.3
M,Myotis,bocagei,0.21,7.6
M,Saimiri,boliviensis,24.1,750
M,Mus,booduga,0.31,14.6
M,Balaenoptera,borealis,4900,20000000
M,Lasiurus,borealis,0.17,7.7
M,Thomomys,bottae,1.41,140.7
M,Peromyscus,boylii,0.71,27.47
M,Platyrrhinus,brachycephalus,0.583,12.9
M,Lampronycteris,brachyotis,0.335,11.25
M,Cynopterus,brachyotis,0.88,29
M,Chrysocyon,brachyurus,134.3,24000
M,Setonix,brachyurus,17.5,3500
M,Dinomys,branickii,26.95,14000
M,Gerbilliscus,brantsii,1.56,91.7
M,Pteronura,brasiliensis,162.6,48000
M,Eptesicus,brasiliensis,0.19833,9.03
M,Sylvilagus,brasiliensis,4.5,439
M,Blarina,brevicauda,0.6,14
M,Blarina,brevicauda,0.3443,16.3
M,Blarina,brevicauda,0.352,18.8
M,Blarina,brevicauda,0.17,18
M,Kogia,breviceps,1012,305000
M,Geomys,breviceps,1.7,138.8
M,Cormura,brevirostris,0.219,8.2
M,Geomys,bursarius,2.83,108
M,Geomys,bursarius,1.35,175
M,Geomys,bursarius,2.04,202.1
M,Alcelaphus,buselaphus,269,99500
M,Alcelaphus,buselaphus,254,90000
M,Alcelaphus,buselaphus,250,155000
M,Alcelaphus,buselaphus,310,160000
M,Alcelaphus,buselaphus,357,165000
M,Alcelaphus,buselaphus,329,170000
M,Tragelaphus,buxtoni,330,280000
M,Syncerus,caffer,640,600000
M,Syncerus,caffer,378,300000
M,Syncerus,caffer,642,571880
M,Syncerus,caffer,640,600000
M,Syncerus,caffer,560,757000
M,Syncerus,caffer,653,759000
M,Syncerus,caffer,570,1000000
M,Hipposideros,caffer,0.32,10.7
M,Acomys,cahirinus,0.76,44
M,Hipposideros,calcaratus,0.369,11.35
M,Zalophus,californianus,363,100000
M,Lepus,californicus,13.23,2314.9
M,Microtus,californicus,0.78,43.3
M,Peromyscus,californicus,0.91,43.53
M,Giraffa,camelopardalis,420,300000
M,Giraffa,camelopardalis,509,450000
M,Giraffa,camelopardalis,544,480000
M,Giraffa,camelopardalis,680,529000
M,Giraffa,camelopardalis,712,600000
M,Giraffa,camelopardalis,655,600000
M,Giraffa,camelopardalis,426,810000
M,Giraffa,camelopardalis,700,1198000
M,Giraffa,camelopardalis,700,1220000
M,Raphicerus,campestris,51,11000
M,Raphicerus,campestris,57,11000
M,Raphicerus,campestris,44,12000
M,Raphicerus,campestris,54,12000
M,Raphicerus,campestris,48,6000
M,Raphicerus,campestris,49.5,8620
M,Raphicerus,campestris,48.5,10000
M,Raphicerus,campestris,52.5,10000
M,Raphicerus,campestris,56.5,10000
M,Raphicerus,campestris,47,10200
M,Raphicerus,campestris,48,11000
M,Dipodillus,campestris,0.9,27.5
M,Saccostomus,campestris,0.82,49.35
M,Lynx,canadensis,69.5,14969
M,Lynx,canadensis,75,12000
M,Lynx,canadensis,69.2,15000
M,Lontra,canadensis,63.8,10000
M,Cervus,canadensis,435,200000
M,Castor,canadensis,36.5,17600
M,Castor,canadensis,40,20000
M,Castor,canadensis,52.21,27670
M,Procyon,cancrivorus,61.5,4819.5
M,Procyon,cancrivorus,86.5,22000
M,Saccopteryx,canescens,0.13,3.4
M,Callosciurus,caniceps,6.02,240
M,Rhinolophus,capensis,0.256,12.8
M,Procavia,capensis,19.4,2275
M,Procavia,capensis,19,2760
M,Procavia,capensis,20,1930
M,Procavia,capensis,20.5,3800
M,Lepus,capensis,10.23,2930
M,Lepus,capensis,11.33,1895
M,Capreolus,capreolus,94.5,12706
M,Capreolus,capreolus,90,13154
M,Capreolus,capreolus,103.5,15422
M,Capreolus,capreolus,93,14062
M,Capreolus,capreolus,92,17000
M,Capreolus,capreolus,83,21000
M,Cebus,capucinus,65,1247
M,Cebus,capucinus,72,1750
M,Cebus,capucinus,65,1814
M,Cebus,capucinus,71.6,2718
M,Cebus,capucinus,66,930
M,Cebus,capucinus,75,1021
M,Cebus,capucinus,68,1126
M,Cebus,capucinus,74,1250
M,Cebus,capucinus,73.3,3833
M,Cebus,capucinus,72.18,3101
M,Cebus,capucinus,73,3700
M,Caracal,caracal,65.2,18000
M,Vampyrodes,caraccioli,0.947,39.7
M,Alouatta,caraya,55.8,7070
M,Alouatta,caraya,45.6,2955
M,Sciurus,carolinensis,6.44,300
M,Sciurus,carolinensis,6.7,312
M,Sciurus,carolinensis,6.83,321
M,Sciurus,carolinensis,7.02,364
M,Sciurus,carolinensis,7.5,399
M,Sciurus,carolinensis,7.6,404.5
M,Sciurus,carolinensis,6.55,410
M,Sciurus,carolinensis,7.84,445
M,Sciurus,carolinensis,7.03,468
M,Sciurus,carolinensis,8.22,470
M,Sciurus,carolinensis,7.7,502
M,Sciurus,carolinensis,6.8,510
M,Sciurus,carolinensis,8.95,522.5
M,Sciurus,carolinensis,7.7,401
M,Sciurus,carolinensis,7.2,438
M,Sciurus,carolinensis,7.15,459.5
M,Sciurus,carolinensis,7.67,502
M,Sciurus,carolinensis,7.58,514
M,Sciurus,carolinensis,8.25,595.5
M,Sciurus,carolinensis,6.49,367
M,Sciurus,carolinensis,7.48,466
M,Sciurus,carolinensis,7.58,469
M,Sciurus,carolinensis,7.17,574.5
M,Funisciurus,carruthersi,4.48,268
M,Carollia,castanea,0.4485,12.55
M,Lemur,catta,23.35,1246
M,Lemur,catta,22.3,1960
M,Lemur,catta,21.8,1960
M,Lemur,catta,22,2200
M,Lemur,catta,20.8,2350
M,Anoura,caudifer,0.4225,10.5
M,Brachyphylla,cavernarum,1.278,46.75
M,Ziphius,cavirostris,2004,2273000
M,Ametrida,centurio,0.29,10.5
M,Paraxerus,cepapi,2.85,216
M,Cercopithecus,cephus,57.5,1915
M,Cercopithecus,cephus,76,3508
M,Antilope,cervicapra,90,13500
M,Antilope,cervicapra,118,33500
M,Antilope,cervicapra,200,38500
M,Melomys,cervinipes,1.31,70
M,Hipposideros,cervinus,0.214,7.3
M,Pipistrellus,ceylonicus,0.182,10.1
M,Conepatus,chinga,21,2500
M,Hydromys,chrysogaster,4.33,698
M,Aethomys,chrysophilus,1.25,117
M,Neotoma,cinerea,2.65,331.3
M,Urocyon,cinereoargenteus,37.28,3749
M,Urocyon,cinereoargenteus,44.2,7000
M,Dermanura,cinereus,0.4685,12.4
M,Sorex,cinereus,0.17,3.9
M,Arielulus,circumdatus,0.23,10.4
M,Rhynchocyon,cirnei,6.1,490
M,Rhynchocyon,cirnei,5.7,525
M,Trachops,cirrhosus,0.9115,36.45
M,Civettictis,civetta,52,18000
M,Rhinolophus,clivosus,0.242,20.1
M,Rhinolophus,coelophyllus,0.259,7.7
M,Stenella,coeruleoalba,980,62000
M,Stenella,coeruleoalba,930,63000
M,Stenella,coeruleoalba,785,64000
M,Stenella,coeruleoalba,840,65000
M,Stenella,coeruleoalba,692,35000
M,Stenella,coeruleoalba,805,42000
M,Stenella,coeruleoalba,840,51000
M,Stenella,coeruleoalba,835,71000
M,Stenella,coeruleoalba,820,56300
M,Urocitellus,columbianus,3.5,453.6
M,Grammomys,cometes,0.96,40.7
M,Hipposideros,commersonii,0.74475,101.25
M,Puma,concolor,154,54432
M,Puma,concolor,174.2,105000
M,Artibeus,concolor,0.633,19.4
M,Mops,condylurus,0.42225,26.65
M,Pteropus,conspicillatus,8.35,750
M,Synaptomys,cooperi,0.59,23.8
M,Cardioderma,cor,0.6725,25.5
M,Rhinolophus,cornutus,0.194,6.6
M,Pipistrellus,coromandra,0.105,4.6
M,Nycticebus,coucang,13.6,885
M,Nycticebus,coucang,10.5,365
M,Nycticebus,coucang,14.4,572
M,Nycticebus,coucang,12.5,800
M,Nycticebus,coucang,7.88,965
M,Nycticebus,coucang,12.8,1230
M,Microgale,cowani,0.42,15.2
M,Myocastor,coypus,23,5000
M,Myocastor,coypus,17.09,7052
M,Otolemur,crassicaudatus,9.9,700
M,Pseudorca,crassidens,4307,2000000
M,Hypsugo,crassulus,0.132,6.1
M,Notiosorex,crawfordi,0.15,6
M,Mimon,crenulatum,0.34,14.8
M,Cricetus,cricetus,2.2,297
M,Peromyscus,crinitus,0.53,13.56
M,Capricornis,crispus,131.6,32900
M,Condylura,cristata,1.37,50
M,Hystrix,cristata,24.2,4763
M,Hystrix,cristata,37,11300
M,Crocuta,crocuta,175,62370
M,Crocuta,crocuta,177.8,80000
M,Galictis,cuja,19.4,1800
M,Oryctolagus,cuniculus,9.05,622
M,Oryctolagus,cuniculus,8.98,1411.8
M,Oryctolagus,cuniculus,9.6,2200
M,Oryctolagus,cuniculus,10.6,2217
M,Oryctolagus,cuniculus,13.7,2844
M,Leptonycteris,curasoae,0.55,24.5
M,Spalacopus,cyanus,1.58,93
M,Murina,cyclotis,0.265,7.88
M,Thylacinus,cynocephalus,43,14969
M,Papio,cynocephalus,162,5443
M,Papio,cynocephalus,172,7485
M,Papio,cynocephalus,179.5,10546
M,Chlorocebus,cynosuros,68.5,3880
M,Chlorocebus,cynosuros,72,2920
M,Phocoenoides,dalli,876,78400
M,Phocoenoides,dalli,760,70000
M,Phocoenoides,dalli,793,110000
M,Phocoenoides,dalli,948,115000
M,Phocoenoides,dalli,867,112000
M,Praomys,daltoni,0.68,35
M,Nanger,dama,149,52000
M,Nanger,dama,151,68000
M,Dama,dama,224.5,37195
M,Dama,dama,223,80000
M,Oryx,dammah,232,124000
M,Oryx,dammah,250,135000
M,Myotis,dasycneme,0.31,15
M,Dipodillus,dasyurus,1.32,20.5
M,Myotis,daubentonii,0.23,7
M,Pteronotus,davyi,0.31,10.6
M,Delphinus,delphis,685,52000
M,Delphinus,delphis,780,52000
M,Delphinus,delphis,815,59000
M,Delphinus,delphis,785,50000
M,Delphinus,delphis,790,50000
M,Delphinus,delphis,635,52000
M,Delphinus,delphis,824,54000
M,Delphinus,delphis,760,55000
M,Delphinus,delphis,875,58000
M,Delphinus,delphis,820,59000
M,Delphinus,delphis,830,61000
M,Delphinus,delphis,750,65000
M,Delphinus,delphis,842,66000
M,Delphinus,delphis,788,37000
M,Delphinus,delphis,757,49000
M,Delphinus,delphis,685,52000
M,Delphinus,delphis,765,52000
M,Delphinus,delphis,830,61000
M,Galagoides,demidoff,3.38,81
M,Mesoplodon,densirostris,1463,767000
M,Dipodomys,deserti,1.74,130.2
M,Heteromys,desmarestianus,1.08,72.2
M,Hipposideros,diadema,0.715,43.6
M,Choloepus,didactylus,28.2,5070
M,Eptesicus,dimissus,0.231,15
M,Scotophilus,dinganii,0.4385,24.3
M,Phyllostomus,discolor,0.89,33
M,Microgale,dobsoni,0.56,32.6
M,Gazella,dorcas,81.6,12170
M,Gazella,dorcas,66,15000
M,Gazella,dorcas,69,16000
M,Gazella,dorcas,68,16700
M,Gazella,dorcas,68,18400
M,Gazella,dorcas,81,19000
M,Pipistrellus,dormeri,0.143,6.8
M,Cephalophus,dorsalis,93,13000
M,Tamias,dorsalis,1.98,62.2
M,Erethizon,dorsatus,24.6,5397
M,Erethizon,dorsatus,24,6640
M,Camelus,dromedarius,762,400000
M,Diphylla,ecaudata,0.8015,31.05
M,Tenrec,ecaudatus,2.57,832
M,Tenrec,ecaudatus,3.1,982
M,Megaerops,ecaudatus,0.82233,24.67
M,Malacomys,edwardsi,1.18,60
M,Spalax,ehrenbergi,0.51,50
M,Spalax,ehrenbergi,1.88,197
M,Cervus,elaphus,229,73500
M,Cervus,elaphus,365,117000
M,Cervus,elaphus,411,125530
M,Cervus,elaphus,409.3,200000
M,Petaurista,elegans,7.76,924
M,Kobus,ellipsiprymnus,323,221000
M,Kobus,ellipsiprymnus,309,225000
M,Kobus,ellipsiprymnus,325,230000
M,Kobus,ellipsiprymnus,290,188200
M,Kobus,ellipsiprymnus,303,225000
M,Kobus,ellipsiprymnus,323,225000
M,Kobus,ellipsiprymnus,325,230000
M,Phyllostomus,elongatus,0.885,44.9
M,Rhinolophus,eloquens,0.4045,19.05
M,Semnopithecus,entellus,117,6647
M,Semnopithecus,entellus,111.5,7010
M,Hippotragus,equinus,395,215000
M,Hippotragus,equinus,397,225000
M,Hippotragus,equinus,395,240000
M,Hippotragus,equinus,364,245000
M,Hippotragus,equinus,405,220000
M,Hippotragus,equinus,403,232000
M,Hippotragus,equinus,403,235000
M,Hippotragus,equinus,363,250000
M,Hippotragus,equinus,363,250000
M,Hippotragus,equinus,381,280000
M,Hippotragus,equinus,381,280000
M,Peromyscus,eremicus,0.54,19.93
M,Mustela,erminea,5.2,400
M,Mustela,erminea,5.4,525
M,Mustela,erminea,5.3,450
M,Mustela,erminea,4.6,450
M,Mustela,erminea,3.47,121
M,Mustela,erminea,5.64,169.3
M,Mustela,erminea,4.6,179
M,Xerus,erythropus,6.68,722.5
M,Suncus,etruscus,0.08,2.2
M,Suncus,etruscus,0.062,2.28
M,Talpa,europaea,1.02,76
M,Talpa,europaea,1.5,77
M,Talpa,europaea,1.69,80.5
M,Mesoplodon,europaeus,2149,732000
M,Erinaceus,europaeus,3.23,453
M,Erinaceus,europaeus,2.26,372
M,Erinaceus,europaeus,3.5,448
M,Erinaceus,europaeus,3,497.8
M,Erinaceus,europaeus,3.5,515
M,Erinaceus,europaeus,3.6,669
M,Erinaceus,europaeus,3,690
M,Erinaceus,europaeus,3.77,697
M,Erinaceus,europaeus,6.5,718
M,Erinaceus,europaeus,3.35,860
M,Erinaceus,europaeus,3.5,918
M,Erinaceus,europaeus,3.5,920
M,Erinaceus,europaeus,3.3,925
M,Erinaceus,europaeus,3.3,985
M,Lepus,europaeus,14.35,1954
M,Lepus,europaeus,13.3,2850
M,Tragelaphus,eurycerus,389,253000
M,Tragelaphus,eurycerus,379,210000
M,Urogale,everetti,4.28,275
M,Rattus,exulans,0.89,60.3
M,Macaca,fascicularis,61.9,3360
M,Macaca,fascicularis,69.7,4310
M,Macaca,fascicularis,70,4740
M,Macaca,fascicularis,66,1210
M,Macaca,fascicularis,73.9,1425
M,Macaca,fascicularis,62.3,1980
M,Macaca,fascicularis,75.7,2050
M,Macaca,fascicularis,53.7,2490
M,Macaca,fascicularis,79,4035
M,Macaca,fascicularis,56,4302
M,Macaca,fascicularis,68,4302
M,Rhinolophus,ferrumequinum,0.35,23.5
M,Castor,fiber,45,25000
M,Eptesicus,flavescens,0.19,10.5
M,Apodemus,flavicollis,0.7,32.3
M,Marmota,flaviventris,10.29,5000
M,Lophuromys,flavopunctatus,1.01,60
M,Potos,flavus,35.1,1863
M,Potos,flavus,31.05,2620
M,Potos,flavus,31.2,1970
M,Perognathus,flavus,0.3,8.8
M,Neotoma,floridana,3.04,257.7
M,Sylvilagus,floridanus,7.56,1036
M,Podomys,floridanus,0.94,33.47
M,Sotalia,fluviatilis,688,42200
M,Neomys,fodiens,0.32,15.2
M,Neomys,fodiens,0.29,17.5
M,Martes,foina,23.4,2300
M,Chaetodipus,formosus,0.54,20.9
M,Myotis,fortidens,0.1325,4.35
M,Onychogalea,fraenata,12.7,2722
M,Onychogalea,fraenata,16.2,5216
M,Onychogalea,fraenata,13.5,1433
M,Trachypithecus,francoisi,86.7,9100
M,Trachypithecus,francoisi,102.1,9100
M,Poliocitellus,franklinii,3.82,455.5
M,Epomops,franqueti,2.213,118.25
M,Lavia,frons,0.644,23.4
M,Ailurus,fulgens,46.8,5590
M,Ailurus,fulgens,41.6,5600
M,Redunca,fulvorufula,109,31000
M,Redunca,fulvorufula,132,35000
M,Hipposideros,fulvus,0.236,7
M,Eulemur,fulvus,23.3,1400
M,Eulemur,fulvus,9.5,2000
M,Sorex,fumeus,0.21,8.9
M,Eptesicus,furinalis,0.1895,7.6
M,Ateles,fusciceps,108.8,9163
M,Ateles,fusciceps,118.4,8890
M,Elephantulus,fuscipes,1.33,57
M,Neotoma,fuscipes,2.66,193.3
M,Rattus,fuscipes,1.75,108.5
M,Rattus,fuscipes,1.63,135.5
M,Crocidura,fuscomurina,0.13,5.6
M,Eptesicus,fuscus,0.21433,11.23
M,Miniopterus,fuscus,0.265,11.4
M,Hipposideros,galeritus,0.279,10.4
M,Epomophorus,gambianus,4.3285,309
M,Cricetomys,gambianus,6.57,1150
M,Heliosciurus,gambianus,3.99,295
M,Platanista,gangetica,295,59000
M,Myodes,gapperi,0.56,16.9
M,Oryx,gazella,315,20000
M,Oryx,gazella,297,190000
M,Oryx,gazella,261,120000
M,Oryx,gazella,287,140000
M,Oryx,gazella,315,200000
M,Theropithecus,gelada,130,7710
M,Genetta,genetta,20.3,2700
M,Inia,geoffrensis,610,62400
M,Anoura,geoffroyi,0.583,15
M,Nyctophilus,geoffroyi,0.167,7.2
M,Ateles,geoffroyi,94.5,2268
M,Ateles,geoffroyi,107.7,4680
M,Ateles,geoffroyi,102.9,8912
M,Ateles,geoffroyi,91,1835
M,Ateles,geoffroyi,95.5,1920
M,Ateles,geoffroyi,95,2155
M,Ateles,geoffroyi,82,2268
M,Ateles,geoffroyi,107.6,4760
M,Ateles,geoffroyi,117,7787
M,Ateles,geoffroyi,107,7630
M,Ateles,geoffroyi,109,7640
M,Ateles,geoffroyi,108,8000
M,Saguinus,geoffroyi,8.85,453
M,Saguinus,geoffroyi,12.39,567
M,Saguinus,geoffroyi,12.39,482
M,Saguinus,geoffroyi,10.62,510
M,Saguinus,geoffroyi,12.39,510
M,Saguinus,geoffroyi,10.5,546
M,Saguinus,geoffroyi,10,546
M,Saguinus,geoffroyi,24,903
M,Saguinus,geoffroyi,19.9,793
M,Gerbillus,gerbillus,3.4,95
M,Neurotrichus,gibbsii,0.91,10
M,Pteropus,giganteus,7.5,323
M,Pteropus,giganteus,6.2,325
M,Pteropus,giganteus,7.3,380
M,Pteropus,giganteus,10.01,382
M,Pteropus,giganteus,6.8,395
M,Pteropus,giganteus,6.3,405
M,Pteropus,giganteus,7,414
M,Pteropus,giganteus,7.78,577
M,Macroderma,gigas,1.7,120
M,Heterocephalus,glaber,0.52,60.8
M,Lama,glama,203.56,37888
M,Lama,glama,203.89,37958
M,Lama,glama,208.31,41476
M,Lama,glama,185.74,41639
M,Lama,glama,244.12,60131
M,Lama,glama,262.48,64595
M,Lama,glama,249.29,65705
M,Lama,glama,233.61,67484
M,Lama,glama,268.04,69008
M,Lama,glama,300.61,72460
M,Lama,glama,238.12,72494
M,Lama,glama,267.05,77428
M,Lama,glama,273.72,81470
M,Lama,glama,261.46,83176
M,Lama,glama,250.15,85094
M,Lama,glama,281.19,85724
M,Lama,glama,273.72,89536
M,Lama,glama,273.72,92278
M,Lama,glama,261.46,93691
M,Lama,glama,232.7,95324
M,Lama,glama,293.22,95455
M,Lama,glama,255.56,95477
M,Lama,glama,243.61,103181
M,Lama,glama,243,104300
M,Lama,glama,257.04,106930
M,Lama,glama,257.51,107127
M,Lama,glama,249.75,109597
M,Lama,glama,200.3,60000
M,Lama,glama,225,93000
M,Myodes,glarelus,0.52,17.9
M,Dermanura,glauca,0.476,12.2
M,Eumops,glaucinus,0.6565,36.85
M,Gerbillus,gleadowi,0.69,26.1
M,Chiropodomys,gliroides,0.7,25.3
M,Glis,glis,1.9,148
M,Tupaia,glis,2.02,145
M,Tupaia,glis,3.15,150
M,Tupaia,glis,3.2,170
M,Connochaetes,gnou,305,150000
M,Choeroniscus,godmani,0.34,6.1
M,Gorilla,gorilla,490.2,90000
M,Gorilla,gorilla,379.17,90000
M,Gorilla,gorilla,574,188250
M,Gorilla,gorilla,574.2,188250
M,Gorilla,gorilla,477.1,188250
M,Gorilla,gorilla,500,105000
M,Gorilla,gorilla,406,140000
M,Peromyscus,gossypinus,0.68,27.2
M,Peromyscus,gossypinus,0.68,28.25
M,Chalinolobus,gouldii,0.24,11.7
M,Mesembriomys,gouldii,4.59,1110
M,Sciurus,granatensis,5.91,400
M,Nycteris,grandis,0.7355,29.4
M,Peromyscus,grandis,1.53,77.32
M,Nanger,granti,143,41000
M,Nanger,granti,173,55000
M,Nanger,granti,135,40000
M,Nanger,granti,143,41000
M,Nanger,granti,137,61000
M,Cynomops,greenhalli,0.3,17.5
M,Sylvicapra,grimmia,73,11000
